genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Aphytis,opuntiae,3,39.000041,-4.0031039,42.6384261,21.9999569
Aphytis,paramaculicornis,10,-28.8166235,-118.7559973,41.6809707,76.7972892
Aphytis,perissoptroides,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,philippinensis,6,10.9094334,29.2675469,26.4073841,122.7312101
Aphytis,phoenicis,3,25.6242618,29.2675469,30.8760272,42.3528328
Aphytis,pilosus,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,pinnaspidis,6,-22.2752761,-99.1332101,19.4325301,78.3665347
Aphytis,proclia,89,-34.9964962,-157.9752029,64.6863136,143.448533
Aphytis,punctaticorpus,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Aphytis,quadraspidioti,1,48.0000047,127.999992,48.0000047,127.999992
Aphytis,riyadhi,4,-28.8166235,-118.7559973,36.7014631,42.3528328
Aphytis,rolaspidis,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,roseni,3,-6.8699696,-75.0458514,1.5333554,38.4313975
Aphytis,ruskini,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,salvadorensis,1,13.8000382,-88.9140682,13.8000382,-88.9140682
Aphytis,sankarani,1,14.5203896,75.7223521,14.5203896,75.7223521
Aphytis,secundus,7,-21.9549805,-105.9999999,54.0,109.5999999
Aphytis,sensorius,1,30.3308401,71.247499,30.3308401,71.247499
Aphytis,setosus,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,simmondsiae,2,19.4325301,-118.7559973,36.7014631,-99.1332101
Aphytis,simplex,1,-6.3472901,106.779011,-6.3472901,106.779011
Aphytis,sinaii,1,26.2540493,29.2675469,26.2540493,29.2675469
Aphytis,stepanovi,1,45.0819456,134.726645,45.0819456,134.726645
Aphytis,taylori,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,testaceus,5,40.3936294,19.5060937,64.6863136,97.7453061
Aphytis,theae,3,26.4073841,-81.4639834,31.9292352,93.2551303
Aphytis,tucumani,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Aphytis,ulianovi,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,unaspidis,2,26.5450001,102.6366383,32.41875,117.842778
Aphytis,unicus,1,26.5450001,117.842778,26.5450001,117.842778
Aphytis,vandenboschi,7,23.1357694,-118.7559973,40.9975197,139.2394179
Aphytis,vastus,1,-22.5037497,17.0194784,-22.5037497,17.0194784
Aphytis,wandoorensis,2,10.2188344,78.6677428,22.3511148,92.5771329
Aphytis,yanonensis,7,25.0,1.8883335,46.603354,139.2394179
Aphytis,yasumatsui,1,36.5748441,139.2394179,36.5748441,139.2394179
Bardylis,australicus,1,-25.2303004,121.0187246,-25.2303004,121.0187246
Bardylis,australiensis,1,-24.7761085,134.755,-24.7761085,134.755
Bardylis,copernici,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Bardylis,magnus,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Bardylis,mea,1,-21.9182855,144.4588889,-21.9182855,144.4588889
