family,genus,species,mode,min_length,max_length,Nearctic,Neotropical,W.Palearctic,Ethiopian,E.Palearctic,Oriental,Australasian,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,nbr_country,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other.Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,pair,min_dev,max_dev,eco
Aphelinidae,Aphytis,mazalae,sex,0.79,0.82,0,0,0,0,1,1,0,23,69,36,138,28,110,27,117,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA,NA,par
Aphelinidae,Aphytis,melinus,sex,0.73,1.01,1,1,1,1,0,1,1,-38,-119,52,145,13,22,24,22,30,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,13,par
Aphelinidae,Aphytis,merceti,sex,1.02,1.68,0,0,0,1,0,0,0,-31,23,-31,23,-31,23,-31,23,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,par
Aphelinidae,Aphytis,moldavicus,asex,0.67,1.02,0,0,1,0,1,0,0,32,-83,50,71,42,8,43,22,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,par
Aphelinidae,Aphytis,mytilaspidis,both,0.75,1.26,1,1,1,1,1,1,1,-41,-128,60,175,35,-12,40,5,83,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,21,par
Aphelinidae,Aphytis,notialis,sex,0.81,1.22,0,1,0,0,0,0,0,-38,-72,-36,-64,-37,-68,-37,-68,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,par
Aphelinidae,Aphytis,obscurus,sex,0.76,1.11,0,1,0,0,0,0,0,-34,-58,-34,-58,-34,-58,-34,-58,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,NA,NA,par
Aphelinidae,Aphytis,opuntiae,asex,0.7,1.2,0,0,1,0,0,0,0,39,-4,42,22,40,10,40,13,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,NA,NA,par
Aphelinidae,Aphytis,paramaculicornis,sex,0.66,1.16,1,0,1,1,1,1,0,-31,-119,37,76,25,17,32,39,10,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,17,17,par
Aphelinidae,Aphytis,philippinensis,sex,0.94,1.18,0,0,1,0,1,1,0,11,31,27,122,19,85,19,86,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,par
Aphelinidae,Aphytis,phoenicis,asex,0.55,0.88,0,0,1,0,0,0,0,24,31,31,45,27,37,27,35,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,par
Aphelinidae,Aphytis,pinnaspidis,sex,0.63,1,0,1,0,0,0,1,0,-23,-103,24,79,5,-19,12,-39,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,par
Aphelinidae,Aphytis,sensorius,sex,0.52,0.74,0,0,0,0,1,0,0,30,69,30,69,30,69,30,69,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA,NA,par
Aphelinidae,Aphytis,taylori,sex,0.75,1.15,0,0,0,1,0,0,0,-31,23,-31,23,-31,23,-31,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,NA,NA,par
Aphelinidae,Aphytis,testaceus,asex,0.99,1.23,0,0,1,0,0,0,0,40,20,47,48,45,35,45,36,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,par
Aphelinidae,Aphytis,tucumani,sex,0.95,1.14,0,1,0,0,0,0,0,-38,-64,-38,-64,-38,-64,-38,-64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,par
Aphelinidae,Aphytis,vandenboschi,asex,0.57,1.14,1,0,1,0,1,1,0,23,-119,41,138,34,43,36,113,7,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,16,20,par
Aphelinidae,Aphytis,vastus,asex,0.7,0.7,0,0,0,1,0,0,0,-23,18,-23,18,-23,18,-23,18,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA,NA,par
Aphelinidae,Aphytis,wallumbillae,asex,0.89,0.89,0,0,0,0,0,0,1,-21,143,-21,143,-21,143,-21,143,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,NA,NA,NA
Aphelinidae,Aphytis,yanonensis,asex,NA,NA,0,0,1,0,1,1,0,24,2,46,138,31,98,28,107,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,par
Aphelinidae,Aphytis,yasumatsui,sex,NA,NA,0,0,0,0,1,0,0,36,138,36,138,36,138,36,138,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,par
Aphelinidae,Encarsia,bimaculata,sex,NA,NA,1,1,1,1,0,1,1,-35,-111,34,149,8,44,15,101,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,15,par
Aphelinidae,Encarsia,cibcensis,sex,0.52,0.68,0,0,0,0,0,1,0,-21,-160,32,167,12,25,21,69,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,NA,par
Aphelinidae,Encarsia,citrina,asex,0.5,0.5,1,1,1,1,1,1,1,-41,-176,72,178,22,0,31,4,103,158,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,NA,NA,par
Aphelinidae,Encarsia,formosa,asex,0.59,0.59,1,1,1,1,1,1,1,-41,-175,62,178,29,-2,39,8,95,29,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,14,21,par
Aphelinidae,Encarsia,gennaroi,sex,NA,NA,1,0,1,0,0,0,1,-25,-119,46,134,29,-11,32,-1,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,NA,NA,par
Aphelinidae,Encarsia,guadaloupae,asex,0.6,0.75,1,1,1,1,0,1,1,-18,-156,28,178,10,38,9,73,23,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,23,23,par
Aphelinidae,Encarsia,Haitensis,sex,0.538,0.538,0,1,0,1,0,1,0,6,-156,24,121,18,-50,20,-72,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA,par
Aphelinidae,Encarsia,Hispida-brasiliensis,asex,0.47,0.47,1,1,1,1,0,0,0,-38,-149,52,23,11,-58,16,-67,31,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA,par
