ref,var,pval1T,pval2T,z
16,lat_mean,0.4309,0.8618,1.178
16,lat_median,0.3834,0.7668,0.994
16,host_spp,0.0027,0.0054,-17.35
16,lat_range,0.1416,0.2832,-3.351
17,nbr_country,0.0014,0.0028,-13.786
17,max_dist_eq,0.0464,0.0928,-2.028
17,min_dist_eq,0.4198,0.8396,1.824
17,lat_mean,0.6428,0.7144,0.274
17,lat_median,0.2712,0.5424,-0.135
17,host_spp,0.0036,0.0072,-19.407
17,lat_range,0.0688,0.1376,-3.487
18,nbr_country,0.0012,0.0024,-13.349
18,max_dist_eq,0.0487,0.0974,-1.783
18,min_dist_eq,0.3756,0.7512,1.618
18,lat_mean,0.6159,0.7682,0.471
18,lat_median,0.695,0.61,0.039
18,host_spp,0.0048,0.0096,-18.654
18,lat_range,0.0804,0.1608,-3.078
19,nbr_country,0.0043,0.0086,-11.83
19,max_dist_eq,0.0686,0.1372,-1.177
19,min_dist_eq,0.3681,0.7362,1.69
19,lat_mean,0.4794,0.9588,0.888
19,lat_median,0.5585,0.883,0.459
19,host_spp,0.0085,0.017,-17.507
19,lat_range,0.1069,0.2138,-2.99
20,nbr_country,0.0116,0.0232,-9.854
20,max_dist_eq,0.0678,0.1356,-0.9
20,min_dist_eq,0.2971,0.5942,1.822
20,lat_mean,0.4593,0.9186,1.552
20,lat_median,0.5798,0.8404,1.031
20,host_spp,0.0106,0.0212,-16.199
20,lat_range,0.108,0.216,-2.992
