family,genus,species,reproduction,body_length_mm,distribution,coord_lower,coord_upper,number_loc,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,relation_group,development_time_days
Aphelinidae,Aphytis,holoxanthus,sex,0.92-1.18,WW,-38;-119,37;143,23,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12-14
Aphelinidae,Aphytis,hyalinipennis,sex,1.19-1.34,7,-21;166,-21;166,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,NA
Aphelinidae,Aphytis,immaculatus,sex,0.84-1.03,1-6,23;-119,37;121,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA
Aphelinidae,Aphytis,japonicus,sex,0.73-0.89,5,36;128,36;138,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,16-20
Aphelinidae,Aphytis,lepidosaphes,sex,0.90-1.15,1-2-3-4-6-7,-38;-156,42;178,39,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17
Aphelinidae,Aphytis,libanicus,asex,0.70-1.14,3,27;13,42;54,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA
Aphelinidae,Aphytis,lingnanensis,asex,0.73-1.05,WW,-38;-119,40;178,51,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15
Aphelinidae,Aphytis,luteus,sex,0.87-1.50,3,35;9,51;33,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA
Aphelinidae,Aphytis,margaretae,sex,0.78-1.11,2,-23;-103,24;-43,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
Aphelinidae,Aphytis,mazalae,sex,0.79-0.82,5-6,23;69,36;138,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA
Aphelinidae,Aphytis,melinus,sex,0.73-1.01,1-2-3-4-6-7,-38;-119,52;145,30,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12-13
