"family","genus","species","reproduction","min_length","max_length","Nearctic","Neotropical","W.Palearctic","Ethiopian","E.Palearctic","Oriental","Australasian","lat_min","lon_min","lat_max","lon_max","number_loc","nbr_host_spp","Aphididae","Aleyrodidae","Coccoidea","Other.Hemiptera","Diptera","Lepidoptera","Coleoptera","Hymenoptera","Thysanoptera","Neuroptera","Megaloptera","Angiosperms","Pinaceae","Cupressaceae","relation_group","min_dev","max_dev"
"Torymidae","Megastigmus","suspectus","asex",3.5,5.7,0,0,1,0,1,0,0,28,-83,62,71,24,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,14,14
"Torymidae","Megastigmus","transvaalensis","sex",2.4,2.7,0,1,1,1,0,0,0,-38,-156,46,56,15,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,NA,NA
"Torymidae","Megastigmus","tsugae","sex",2.5,2.5,1,0,0,0,0,0,0,39,-128,54,-77,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,NA,NA
"Torymidae","Torymus","arundinis","sex",1.59,2.12,0,0,1,0,1,0,0,32,-83,60,143,16,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,25,NA,NA
"Torymidae","Torymus","bedeguaris","asex",NA,NA,1,0,1,0,1,0,0,32,-128,60,75,52,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA,NA
"Torymidae","Torymus","impar","sex",3.5,3.9,0,0,1,0,1,0,0,32,-83,62,71,16,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA,NA
"Trichogrammatidae","Megaphragma","amalphitanum","sex",0.225,0.275,0,0,1,0,0,0,0,39,-8,46,13,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA,NA
"Trichogrammatidae","Megaphragma","mymaripenne","asex",0.252,0.252,1,1,1,0,0,0,0,-38,-156,38,14,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA,NA
"Trichogrammatidae","Trichogramma","alpha","sex",NA,NA,1,1,0,0,0,0,0,34,-119,54,-63,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","aurosum","sex",NA,NA,1,0,1,0,1,0,0,34,-149,64,113,18,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","australicum","sex",NA,NA,0,1,0,0,1,1,1,-28,-156,36,143,37,62,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,7,8
