family,genus,species,syn,mode,min_body_length,max_body_length,ref_body_size,latitude_min,latitude_max,latitude_mean,latitude_median,max_dist_equator,latitude_range,min_dist_equator,nbr_country,ref_distribution_data,host_spp,ref_nbr_host_spp,pair,ref_phylogeny_pair,phylogeny_inferred_from,Notes:
Aphelinidae,Aphytis,costalimai,NA,sex,0.81,1.18,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,-19,-25,-23,38,19,19,5,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Gomes%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1942&VALSPECIES=costalimai&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dParaphytis&tab=distribution,4,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Gomes%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1942&VALSPECIES=costalimai&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Family%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dParaphytis&tab=associates,30,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,Now Paraphytis
Aphelinidae,Aphytis,cylindratus,NA,sex,0.76,1.36,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-23,37,3,-9,37,60,9,7,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=cylindratus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,5,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=cylindratus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,7,"Polaszek A. et al. 2013. Wallaceaphytisæ: an unusual new genus of parasitoid wasp (Hymenopteraæ: Aphilinidae) from Borneo. Journal of Natural History. 48(19-20): 1111-1123; Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",28S-D2-D3morphology,
Aphelinidae,Aphytis,debachi,NA,sex,0.77,0.98,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",22,37,29,24,37,15,22,5,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Azim&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1963&VALSPECIES=debachi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,3,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Azim&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1963&VALSPECIES=debachi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,7,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,desantisi,NA,asex,0.65,0.87,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,-38,-38,-38,38,0.001,38,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=desantisi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=desantisi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,6,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,faurei,NA,sex,1.13,1.62,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,-31,-31,-31,31,0.001,31,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Annecke&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1964&VALSPECIES=faurei&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Annecke&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1964&VALSPECIES=faurei&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,9,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,fioriniae,NA,asex,0.76,0.93,"Rosen D. et Rose M. 1989. Aphytis fioriniae sp. Nov. (Hymenoptera: Aphelinidae), a parasite of tea scale, Fioriniae theae Green, from India. Oriental Insects. 23: 269-273",26,26,26,26,26,0.001,26,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Rosen+%26+Rose&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1989&VALSPECIES=fioriniae&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Rosen+%26+Rose&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1989&VALSPECIES=fioriniae&ValidAuthBracket=false&&listPageURL=listChalcids.dsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,27,"Rosen D. et Rose M. 1989. Aphytis fioriniae sp. Nov. (Hymenoptera: Aphelinidae), a parasite of tea scale, Fioriniae theae Green, from India. Oriental Insects. 23: 269-273",morphology,
Aphelinidae,Aphytis,fisheri,NA,sex,0.68,1.24,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,37,19,23,37,68,16,8,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1959&VALSPECIES=fisheri&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,4,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1959&VALSPECIES=fisheri&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,3,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,griseus,NA,sex,0.67,1.17,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,-31,-31,-31,31,0.001,31,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Quednau&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1964&VALSPECIES=griseus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,4,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Quednau&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1964&VALSPECIES=griseus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,6,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,haywardi,NA,asex,0.78,0.98,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,-33,-35,-35,38,5,33,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28De+Santis%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1948&VALSPECIES=haywardi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dParaphytis&tab=distribution,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28De+Santis%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1948&VALSPECIES=haywardi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Family%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dParaphytis&tab=associates,22,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,Now Paraphytis
Aphelinidae,Aphytis,holoxanthus,NA,sex,0.92,1.18,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,37,13,22,38,75,9,23,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1960&VALSPECIES=holoxanthus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,12,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1960&VALSPECIES=holoxanthus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,3,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",28S-D2-D3,
Aphelinidae,Aphytis,hyalinipennis,NA,sex,1.19,1.34,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-21,-21,-21,-21,21,0.001,21,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Rosen+%26+DeBach%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=hyalinipennis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dParaphytis&tab=distribution,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Rosen+%26+DeBach%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=hyalinipennis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Family%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dParaphytis&tab=associates,28,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,Now Paraphytis
Aphelinidae,Aphytis,immaculatus,NA,sex,0.84,1.03,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",23,37,28,24,37,14,23,3,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=immaculatus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,5,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=immaculatus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=associates,7,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,japonicus,NA,sex,0.73,0.89,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",36,36,36,36,36,0.001,36,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Azim&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1962&VALSPECIES=japonicus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Azim&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1962&VALSPECIES=japonicus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,27,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,lepidosaphes,NA,sex,0.9,1.15,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,42,15,22,42,80,2,39,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=lepidosaphes&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,8,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=lepidosaphes&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,7,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,libanicus,NA,asex,0.7,1.14,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",27,42,34,33,42,15,27,6,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Traboulsi&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1969&VALSPECIES=libanicus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,6,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Traboulsi&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1969&VALSPECIES=libanicus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,5,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,lingnanensis,NA,asex,0.73,1.05,"Basheer A. et al. 2012. Parasitoids belonging to the genus Aphytis Howard (Hymenoptera: Aphelinidae) in Citrus orchards in Lattakia, Syria. European and Mediterranean Plant Protection Organization. 42(3): 580-584",-38,40,11,18,40,78,4,51,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=lingnanensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,23,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",3,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",18S-28S-CO1,
Aphelinidae,Aphytis,luteus,NA,sex,0.87,1.5,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",35,51,43,42,51,16,35,6,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Ratzeburg%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1852&VALSPECIES=luteus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,4,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Ratzeburg%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1852&VALSPECIES=luteus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3daonidiae%26Family%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,5,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,mazalae,NA,sex,0.79,0.82,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",23,36,28,27,36,13,23,4,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=mazalae&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,10,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=mazalae&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,27,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,melinus,NA,sex,0.73,1.01,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",-38,52,13,24,52,90,9,30,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1959&VALSPECIES=melinus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dmelinus%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,24,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",3,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",18S-28S-CO1,
