family,genus,species,ref
Aphelinidae,Encarsia,dispersa,3
Aphelinidae,Encarsia,divergens,6
Aphelinidae,Encarsia,dmitrii,3
Aphelinidae,Encarsia,dominicana,2
Aphelinidae,Encarsia,duorunga,3
Aphelinidae,Encarsia,echinocera,2
Aphelinidae,Encarsia,ectophaga,4
Aphelinidae,Encarsia,elcielica,2
Aphelinidae,Encarsia,elegans,10
Aphelinidae,Encarsia,elegantula,1
Aphelinidae,Encarsia,elenae,2
Aphelinidae,Encarsia,ellisvillensis,1
Aphelinidae,Encarsia,escama,1
Aphelinidae,Encarsia,estrellae,1
Aphelinidae,Encarsia,eugeniae,2
Aphelinidae,Encarsia,exornata,6
Aphelinidae,Encarsia,explorata,1
Aphelinidae,Encarsia,exserta,3
Aphelinidae,Encarsia,farinaria,4
Aphelinidae,Encarsia,farmani,1
Aphelinidae,Encarsia,fasciata,2
Aphelinidae,Encarsia,fasciola,5
Aphelinidae,Encarsia,filicornis,2
Aphelinidae,Encarsia,flava,2
Aphelinidae,Encarsia,flavescens,4
Aphelinidae,Encarsia,flaviceps,3
Aphelinidae,Encarsia,flavoscutellum,7
Aphelinidae,Encarsia,flexa,6
Aphelinidae,Encarsia,floralis,2
Aphelinidae,Encarsia,florena,2
Aphelinidae,Encarsia,formosa,22
Aphelinidae,Encarsia,fujianensis,6
Aphelinidae,Encarsia,funiculata,2
Aphelinidae,Encarsia,fursovi,2
Aphelinidae,Encarsia,fusca,1
Aphelinidae,Encarsia,fuzhouensis,4
Aphelinidae,Encarsia,galilea,1
Aphelinidae,Encarsia,gallardoi,1
Aphelinidae,Encarsia,gallicola,1
Aphelinidae,Encarsia,gaonae,2
Aphelinidae,Encarsia,gautieri,3
Aphelinidae,Encarsia,gerlingi,4
Aphelinidae,Encarsia,gigas,5
Aphelinidae,Encarsia,gracilens,4
Aphelinidae,Encarsia,grotei,2
Aphelinidae,Encarsia,guadeloupae,7
Aphelinidae,Encarsia,guajavae,3
Aphelinidae,Encarsia,guamuchil,2
Aphelinidae,Encarsia,guangxingana,3
Aphelinidae,Encarsia,guerrierii,1
Aphelinidae,Encarsia,gunturensis,2
Aphelinidae,Encarsia,haitiensis,6
Aphelinidae,Encarsia,hamata,11
Aphelinidae,Encarsia,hamoni,1
Aphelinidae,Encarsia,hamulata,4
Aphelinidae,Encarsia,hansoni,1
Aphelinidae,Encarsia,hapalia,4
Aphelinidae,Encarsia,harrisoni,1
Aphelinidae,Encarsia,heratyi,2
Aphelinidae,Encarsia,hitam,1
Aphelinidae,Encarsia,horatii,2
Aphelinidae,Encarsia,hragila,1
Aphelinidae,Encarsia,inaron,20
Aphelinidae,Encarsia,indica,3
Aphelinidae,Encarsia,indigoferae,1
Aphelinidae,Encarsia,inida,1
Aphelinidae,Encarsia,inquirenda,17
Aphelinidae,Encarsia,inserens,5
Aphelinidae,Encarsia,insignis,5
Aphelinidae,Encarsia,insolita,1
Aphelinidae,Encarsia,insulana,1
