genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Trichogramma,pratti,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Trichogramma,pretiosum,89,-36.5986095,-157.9752029,55.0,144.6780052
Trichogramma,primaevum,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Trichogramma,principium,8,23.9739374,1.8883335,51.15092055,120.9820179
Trichogramma,psocopterae,1,23.9739374,120.9820179,23.9739374,120.9820179
Trichogramma,pusillum,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,raoi,3,14.5203896,73.7684549,35.000074,104.999927
Trichogramma,retorridum,16,19.4325301,-124.9999999,55.0000001,-76.9382068
Trichogramma,rojasi,6,-34.9964962,-80.8328747,23.0131338,-49.0232347
Trichogramma,rossicum,1,50.9800393,40.1506507,50.9800393,40.1506507
Trichogramma,sankarani,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,santarosae,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Trichogramma,sathon,5,19.4325301,-118.7559973,36.7014631,-99.1332101
Trichogramma,savalense,4,41.32373,40.1506507,50.9800393,63.9528098
Trichogramma,sembeli,1,21.2160437,-157.9752029,21.2160437,-157.9752029
Trichogramma,semblidis,32,5.89168285,-149.6809089,64.574131,82.0475315
Trichogramma,semifumatum,18,-31.7613364,-157.9752029,64.6863136,97.7453061
Trichogramma,sericini,3,31.0,47.1332224,43.0574916,116.391248
Trichogramma,shaanxiense,1,36.0,109.0,36.0,109.0
Trichogramma,shchepetilnikovae,1,38.6281733,70.8156541,38.6281733,70.8156541
Trichogramma,sibiricum,4,36.7014631,-124.9999999,55.0,113.5008922
Trichogramma,siddiqi,1,30.3308401,71.247499,30.3308401,71.247499
Trichogramma,silvestre,1,50.9800393,40.1506507,50.9800393,40.1506507
Trichogramma,singularis,1,-25.2303004,121.0187246,-25.2303004,121.0187246
Trichogramma,sinuosum,5,27.7567667,-99.5120985,41.6809707,44.0287382
Trichogramma,sogdianum,1,41.32373,63.9528098,41.32373,63.9528098
Trichogramma,sorokinae,1,42.6073975,25.4856617,42.6073975,25.4856617
Trichogramma,stampae,7,2.3926225,-99.5120985,37.1232245,113.646867
Trichogramma,sugonjaevi,1,41.32373,63.9528098,41.32373,63.9528098
Trichogramma,suorangelica,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Trichogramma,taiwanense,1,23.9739374,120.9820179,23.9739374,120.9820179
Trichogramma,tajimaense,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,talitzkii,2,47.286747,-0.540240236617,52.7954791,28.5110236
Trichogramma,tenebrosum,1,-30.5343664,135.6301212,-30.5343664,135.6301212
Trichogramma,terani,1,8.0018709,-66.1109317,8.0018709,-66.1109317
Trichogramma,thalense,8,31.8160381,-118.7559973,43.1700264,-99.5120985
Trichogramma,tielingense,1,40.9975197,122.9955469,40.9975197,122.9955469
Trichogramma,trjapitzini,1,63.5515028,154.014726,63.5515028,154.014726
Trichogramma,tshumakovae,2,32.9407496,52.9471344,41.5089324,74.724091
Trichogramma,tupiense,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,turkeiense,1,38.9597594,34.9249653,38.9597594,34.9249653
Trichogramma,turkestanicum,4,38.9597594,-7.8896262,55.670249,71.4388595155
Trichogramma,umerus,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,urquijoi,1,40.0028028,-4.0031039,40.0028028,-4.0031039
Trichogramma,ussuricum,1,45.0819456,134.726645,45.0819456,134.726645
Trichogramma,valentinei,1,-41.500083,172.8344077,-41.500083,172.8344077
Trichogramma,vargasi,1,21.2160437,-157.9752029,21.2160437,-157.9752029
Trichogramma,viggianii,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Trichogramma,yabui,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,yawarae,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,zahiri,1,24.4768783,90.2932426,24.4768783,90.2932426
Trichogramma,zeirapherae,1,51.0834196,10.4234469,51.0834196,10.4234469
Trichogramma,zeta,4,10.2735633,-99.1332101,27.7567667,-70.3028025
Trichogramma,zucchii,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
