family,genus,species,nbr_country,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,host_order,host_fam,host_spp
Aphelinidae,Aphytis,africanus,8,-34.9964962,-118.7559973,36.7014631,35.0015196,-4.2877237125,0.199737175,-18.87886455,29.50719415,1,1,9
Aphelinidae,Aphytis,alami,1,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,1,1,2
Aphelinidae,Aphytis,albus,1,37.5540282,126.7893535,37.5540282,126.7893535,37.5540282,126.7893535,37.5540282,126.7893535,1,1,1
Aphelinidae,Aphytis,alexandrina,1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,1,1,1
Aphelinidae,Aphytis,aligarhensis,1,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,0,0,0
Aphelinidae,Aphytis,amazonensis,1,1.3545442,-51.9161976,1.3545442,-51.9161976,1.3545442,-51.9161976,1.3545442,-51.9161976,0,0,0
Aphelinidae,Aphytis,angeloni,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphytis,anneckei,2,-28.8166235,24.991639,1.4419683,38.4313975,-13.6873276,31.71151825,-13.6873276,31.71151825,1,1,2
Aphelinidae,Aphytis,antennalis,1,22.2793278,114.1628131,22.2793278,114.1628131,22.2793278,114.1628131,22.2793278,114.1628131,0,0,0
Aphelinidae,Aphytis,aonidiae,25,-34.9964962,-118.7559973,52.7954791,139.2394179,31.429137416,4.34679093054,40.0028028,19.5060937,1,3,31
Aphelinidae,Aphytis,azai,1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,0,0,0
Aphelinidae,Aphytis,bangalorensis,1,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,1,1,1
Aphelinidae,Aphytis,bedfordi,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,0,0,0
Aphelinidae,Aphytis,capensis,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,1,1
Aphelinidae,Aphytis,caucasicus,1,44.6939006,40.1520421,44.6939006,40.1520421,44.6939006,40.1520421,44.6939006,40.1520421,1,1,1
Aphelinidae,Aphytis,cercinus,2,-28.8166235,17.0194784,-22.5037497,24.991639,-25.6601866,21.0055587,-25.6601866,21.0055587,1,1,4
Aphelinidae,Aphytis,chilensis,22,-41.500083,-118.7559973,51.0834196,172.8344077,18.7251259591,2.10463563182,33.85950185,9.91179245,1,2,31
Aphelinidae,Aphytis,chionaspis,3,-28.8166235,24.991639,24.0,109.0,3.36018953333,78.2747896667,14.8971921,100.83273,1,1,2
Aphelinidae,Aphytis,chrysomphali,76,-36.5986095,-157.9752029,51.0834196,179.0122737,14.7958121809,23.3984234747,22.6821243,30.50933675,2,3,63
Aphelinidae,Aphytis,coheni,6,-28.8166235,-118.7559973,39.000041,35.0015196,23.1662098167,4.2749656,32.9291645,27.12959295,1,1,6
Aphelinidae,Aphytis,columbi,3,-36.5986095,144.4588889,-21.9182855,147.2869493,-30.1309594667,145.474614467,-31.8759834,144.6780052,1,2,5
