"family","genus","species","nbr_country","lat_min","lon_min","lat_max","lon_max","lat_mean","lon_mean","lat_median","lon_median","host_order","host_fam","host_spp","mode","eco"
"Aphelinidae","Aphelinus","chaonia",27,-31.7613364,-118.7559973,59.6749712,114.1628131,39.3097016278,12.8572151809,45.5643442,17.0118954,1,1,17,"sex","par"
"Aphelinidae","Aphelinus","circumscriptus",1,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","confusus",3,42.6384261,12.674297,49.8167003,19.4528646,47.0654262,15.867372,48.7411522,15.4749544,1,1,3,"sex","par"
"Aphelinidae","Aphelinus","coracinus",1,49.4871968,31.2718321,49.4871968,31.2718321,49.4871968,31.2718321,49.4871968,31.2718321,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","coreae",1,37.5540282,126.7893535,37.5540282,126.7893535,37.5540282,126.7893535,37.5540282,126.7893535,1,1,4,"sex","par"
"Aphelinidae","Aphelinus","curvifasciatus",1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","daqingensis",1,48.0000047,127.999992,48.0000047,127.999992,48.0000047,127.999992,48.0000047,127.999992,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","daucicola",14,40.033265,-7.8896262,59.6749712,71.4388595155,46.7387507036,21.5359760582,46.0838491,19.3723018,1,1,13,"sex","par"
"Aphelinidae","Aphelinus","demyaati",1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","desantisi",5,14.5203896,73.7684549,30.9293211,94.5884911,25.11073568,80.08788964,26.8105777,75.7223521,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","dies",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","elvestueni",1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","engaeus",2,-28.8166235,17.5691241,-11.8775767,24.991639,-20.3471001,21.28038155,-20.3471001,21.28038155,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","ficusae",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","flaviventris",14,27.7567667,-81.4639834,59.6749712,71.4388595155,45.8538532036,15.4758362511,46.29428345,18.25899455,1,1,4,"sex","par"
"Aphelinidae","Aphelinus","flavus",7,-42.0350669,-4.1140517,56.7861112,146.6366887,37.8075778,25.6192683207,51.0834196,5.53460738162,1,1,6,"sex","par"
"Aphelinidae","Aphelinus","fulvus",5,40.3936294,-3.2765752,54.7023545,127.999992,48.47997714,43.85149082,49.4871968,31.2718321,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","fusciscapus",4,40.3936294,10.4234469,51.0834196,47.7872508,45.08494455,30.4363824,44.4313646,31.76741595,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","fuscus",2,47.286747,28.5110236,49.4871968,31.2718321,48.3869719,29.89142785,48.3869719,29.89142785,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","gillettei",2,38.7251776,-105.6077166,40.0796319,-89.4339808,39.40240475,-97.5208487,39.40240475,-97.5208487,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","glycinis",1,40.9975197,122.9955469,40.9975197,122.9955469,40.9975197,122.9955469,40.9975197,122.9955469,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","gossypii",18,-41.500083,-175.2026423,49.4871968,172.8344077,10.9725994833,21.8189826333,23.4300641,45.26404835,1,2,20,"sex","par"
"Aphelinidae","Aphelinus","hongkongensis",1,22.2793278,114.1628131,22.2793278,114.1628131,22.2793278,114.1628131,22.2793278,114.1628131,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","hordei",6,-35.4021015,-100.4458824,64.6863136,148.9464218,21.90324775,41.0896758,40.73235055,37.65028515,1,1,4,"sex","par"
"Aphelinidae","Aphelinus","howardii",1,36.7014631,-118.7559973,36.7014631,-118.7559973,36.7014631,-118.7559973,36.7014631,-118.7559973,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","huberi",1,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","humilis",16,-34.9964962,-71.3187696,59.6749712,87.6855882,33.79676305,19.7391069489,43.660006,17.4639095,1,1,6,"sex","par"
"Aphelinidae","Aphelinus","hyalopteraphidis",1,29.0000001,119.9999999,29.0000001,119.9999999,29.0000001,119.9999999,29.0000001,119.9999999,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","japonicus",2,14.8971921,100.83273,36.5748441,139.2394179,25.7360181,120.03607395,25.7360181,120.03607395,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","jucundus",7,21.2160437,-157.9752029,54,-71.9999999,41.5797547571,-102.734785957,43.9792797,-89.6884636,1,1,9,"asex","par"
"Aphelinidae","Aphelinus","kurdjumovi",2,41.6809707,31.2718321,49.4871968,44.0287382,45.58408375,37.65028515,45.58408375,37.65028515,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","lankaensis",2,7.878,75.7223521,14.5203896,80.7038245875,11.1991948,78.2130883438,11.1991948,78.2130883438,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","lapisligni",2,43.6447642,-120.7372569,43.9792797,-114.015407,43.81202195,-117.37633195,43.81202195,-117.37633195,1,1,4,"sex","par"
"Aphelinidae","Aphelinus","literatus",1,-24.7761085,134.755,-24.7761085,134.755,-24.7761085,134.755,-24.7761085,134.755,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","longipennis",1,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","lucidus",2,45.0819456,31.2718321,49.4871968,134.726645,47.2845712,82.99923855,47.2845712,82.99923855,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","lusitanicus",1,40.033265,-7.8896262,40.033265,-7.8896262,40.033265,-7.8896262,40.033265,-7.8896262,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","maculatus",3,30.0417376,79.089691,45.0819456,139.2394179,37.2328424333,117.6852513,36.5748441,134.726645,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","maidis",3,17.1750495,-157.9752029,23.9739374,120.9820179,20.7883435333,19.6689267333,21.2160437,95.9999652,1,1,3,"sex","par"
"Aphelinidae","Aphelinus","mali",100,-42.0350669,-124.9999999,64.6863136,172.8344077,27.209999027,-9.99204068855,36.6381536,-3.93842221831,2,5,35,"sex","par"
"Aphelinidae","Aphelinus","mariscusae",3,-21.1309331,38.4313975,1.4419683,55.5265771,-12.8713083667,46.7998722667,-18.9249603,46.4416422,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","marlatti",4,-18.5264843,-98.5821871,54,-44.1588653,30.936658975,-75.185263075,44.1365601,-78.99999995,1,1,2,"sex","par"
"Aphelinidae","Aphelinus","megadontus",1,27.601029,88.4541363868,27.601029,88.4541363868,27.601029,88.4541363868,27.601029,88.4541363868,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","meghalayanus",1,25.5379432,91.2999102,25.5379432,91.2999102,25.5379432,91.2999102,25.5379432,91.2999102,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","meridionalis",3,33.0955793,7.4197576,43.7311424,44.1749775,39.8217159333,21.4230107,42.6384261,12.674297,1,1,4,"sex","par"
"Aphelinidae","Aphelinus","minutus",1,-6.5247122,35.7878438,-6.5247122,35.7878438,-6.5247122,35.7878438,-6.5247122,35.7878438,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","nepalensis",1,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","niger",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","notatus",1,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","nox",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","odin",1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","paluscolus",1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","paoliellae",1,-11.8775767,17.5691241,-11.8775767,17.5691241,-11.8775767,17.5691241,-11.8775767,17.5691241,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","paramali",4,-11.8775767,17.5691241,32.9407496,52.9471344,19.54831235,33.69633125,28.56503825,32.13453325,1,1,3,"sex","par"
"Aphelinidae","Aphelinus","pax",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","perpallidus",11,-28.8166235,-120.7372569,50.0000002,44.0287382,31.8095524,-59.6887113091,36.7014631,-86,1,1,7,"sex","par"
"Aphelinidae","Aphelinus","polaszeki",1,31.9292352,77.1828462,31.9292352,77.1828462,31.9292352,77.1828462,31.9292352,77.1828462,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","prociphili",1,41.9216734,-93.3122704,41.9216734,-93.3122704,41.9216734,-93.3122704,41.9216734,-93.3122704,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","quercus",1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","rhamni",1,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,1,1,4,"sex","par"
"Aphelinidae","Aphelinus","rhopalosiphiphagus",1,25,102,25,102,25,102,25,102,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","sanborniae",4,40.2253569,-100.5407369,50.0000002,-77.727883,44.703873025,-86.739189825,44.2950675,-84.3440697,1,1,3,"sex","par"
"Aphelinidae","Aphelinus","semiflavus",24,-34.9964962,-157.9752029,55.0000001,78.6677428,33.685006275,-55.769855875,39.4812811,-78.33736025,2,2,41,"asex","par"
"Aphelinidae","Aphelinus","sharpae",2,25.5379432,91.2999102,26.4073841,93.2551303,25.97266365,92.27752025,25.97266365,92.27752025,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","siphonophorae",12,-20.4859417,-157.9752029,55,-54.6183864,31.4400002333,-93.7486663167,37.798209,-79.25031445,2,2,8,"sex","par"
"Aphelinidae","Aphelinus","spiraecolae",2,23.1357694,-81.4639834,27.7567667,113.1982688,25.44626805,15.8671427,25.44626805,15.8671427,1,1,3,"sex","par"
"Aphelinidae","Aphelinus","subauriceps",1,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","subflavescens",18,-41.500083,-120.7372569,52.7954791,172.8344077,27.6112817028,2.61811285336,42.8301252,16.2434249,1,1,16,"sex","par"
"Aphelinidae","Aphelinus","takecallis",1,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","taurus",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","tetrataenion",9,47.1817585,-3.2765752,59.9393657,40.6561633,52.3485535778,25.2493631889,50.7080119,30.3153628,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","thomsoni",8,47.286747,-4.1140517,59.6749712,38.0353929,52.5115842,17.8265792579,51.3060897,17.4639095,1,1,3,"sex","par"
"Aphelinidae","Aphelinus","tiliaphidis",1,48.0000047,127.999992,48.0000047,127.999992,48.0000047,127.999992,48.0000047,127.999992,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","uncinctiventris",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphelinus","varipes",42,-35.4021015,-118.7559973,59.6749712,148.9464218,33.3591093202,-9.99895280922,38.4991488,3.71147044081,2,3,21,"sex","par"
"Aphelinidae","Aphelinus","wenshanus",1,25,102,25,102,25,102,25,102,1,1,1,"sex","par"
"Aphelinidae","Aphelinus","yasnoshae",1,41.6809707,44.0287382,41.6809707,44.0287382,41.6809707,44.0287382,41.6809707,44.0287382,0,0,0,"sex","par"
"Aphelinidae","Aphytis","aberrans",1,1.5333554,32.2166578,1.5333554,32.2166578,1.5333554,32.2166578,1.5333554,32.2166578,1,1,1,"sex","par"
"Aphelinidae","Aphytis","abnormis",7,38.8949549,-77.0366455,47.1817585,34.9249653,40.8970173143,-9.9878126,40.0028028,9.0982074,1,2,10,"sex","par"
"Aphelinidae","Aphytis","acalcaratus",1,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,1,1,1,"sex","par"
"Aphelinidae","Aphytis","acrenulatus",2,-20.275945,12.674297,42.6384261,57.5703566,11.18124055,35.1223268,11.18124055,35.1223268,1,1,2,"sex","par"
"Aphelinidae","Aphytis","africanus",8,-34.9964962,-118.7559973,36.7014631,35.0015196,-4.2877237125,0.199737175,-18.87886455,29.50719415,1,1,9,"sex","par"
"Aphelinidae","Aphytis","alami",1,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,1,1,2,"sex","par"
"Aphelinidae","Aphytis","alexandrina",1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,1,1,1,"sex","par"
"Aphelinidae","Aphytis","aligarhensis",1,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,27.1303344,80.859666,0,0,0,"sex","par"
"Aphelinidae","Aphytis","amazonensis",1,1.3545442,-51.9161976,1.3545442,-51.9161976,1.3545442,-51.9161976,1.3545442,-51.9161976,0,0,0,"sex","par"
"Aphelinidae","Aphytis","angeloni",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphytis","anneckei",2,-28.8166235,24.991639,1.4419683,38.4313975,-13.6873276,31.71151825,-13.6873276,31.71151825,1,1,2,"sex","par"
"Aphelinidae","Aphytis","aonidiae",25,-34.9964962,-118.7559973,52.7954791,139.2394179,31.429137416,4.34679093054,40.0028028,19.5060937,1,3,31,"asex","par"
"Aphelinidae","Aphytis","azai",1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,0,0,0,"sex","par"
"Aphelinidae","Aphytis","bangalorensis",1,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,1,1,1,"sex","par"
"Aphelinidae","Aphytis","capensis",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,1,1,"sex","par"
"Aphelinidae","Aphytis","caucasicus",1,44.6939006,40.1520421,44.6939006,40.1520421,44.6939006,40.1520421,44.6939006,40.1520421,1,1,1,"sex","par"
"Aphelinidae","Aphytis","cercinus",2,-28.8166235,17.0194784,-22.5037497,24.991639,-25.6601866,21.0055587,-25.6601866,21.0055587,1,1,4,"sex","par"
"Aphelinidae","Aphytis","chilensis",22,-41.500083,-118.7559973,51.0834196,172.8344077,18.7251259591,2.10463563182,33.85950185,9.91179245,1,2,31,"asex","par"
"Aphelinidae","Aphytis","chionaspis",3,-28.8166235,24.991639,24,109,3.36018953333,78.2747896667,14.8971921,100.83273,1,1,2,"sex","par"
"Aphelinidae","Aphytis","chrysomphali",76,-36.5986095,-157.9752029,51.0834196,179.0122737,14.7958121809,23.3984234747,22.6821243,30.50933675,2,3,63,"asex","par"
"Aphelinidae","Aphytis","coheni",6,-28.8166235,-118.7559973,39.000041,35.0015196,23.1662098167,4.2749656,32.9291645,27.12959295,1,1,6,"sex","par"
"Aphelinidae","Aphytis","columbi",3,-36.5986095,144.4588889,-21.9182855,147.2869493,-30.1309594667,145.474614467,-31.8759834,144.6780052,1,2,5,"sex","par"
"Aphelinidae","Aphytis","comperei",7,-28.8166235,-99.5120985,31.8160381,114.1628131,16.2555614429,-15.0216388143,22.2793278,-77.3947692,1,1,9,"asex","par"
"Aphelinidae","Aphytis","confusus",2,-28.8166235,24.991639,23.1357694,113.1982688,-2.84042705,69.0949539,-2.84042705,69.0949539,1,1,3,"sex","par"
"Aphelinidae","Aphytis","cornuaspis",1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,1,1,1,"sex","par"
"Aphelinidae","Aphytis","cylindratus",7,-22.2752761,-118.7559973,36.7014631,139.2394179,4.00851621429,-34.3473728286,-6.8699696,-44.1588653,1,2,5,"sex","par"
"Aphelinidae","Aphytis","debachi",5,22.2793278,-118.7559973,36.7014631,139.2394179,29.0472809,73.1374561,26.5450001,114.1628131,1,1,3,"sex","par"
"Aphelinidae","Aphytis","desantisi",1,-34.9964962,-64.9672816,-34.9964962,-64.9672816,-34.9964962,-64.9672816,-34.9964962,-64.9672816,1,1,1,"asex","par"
"Aphelinidae","Aphytis","elongatus",1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,0,0,0,"sex","par"
"Aphelinidae","Aphytis","equatorialis",2,-28.8166235,-5.5679457,7.9897371,24.991639,-10.4134432,9.71184665,-10.4134432,9.71184665,1,1,1,"sex","par"
"Aphelinidae","Aphytis","erythraeus",3,-28.8166235,24.991639,15.9500319,38.6521203,-0.8849738,33.8812420333,10.2116702,37.9999668,1,1,2,"sex","par"
"Aphelinidae","Aphytis","faurei",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,0,0,0,"sex","par"
"Aphelinidae","Aphytis","fioriniae",1,26.4073841,93.2551303,26.4073841,93.2551303,26.4073841,93.2551303,26.4073841,93.2551303,1,1,1,"asex","par"
"Aphelinidae","Aphytis","fisheri",8,-28.8166235,-118.7559973,36.7014631,139.2394179,19.1484772,64.1506268125,23.1625261,87.333854,1,1,4,"sex","par"
"Aphelinidae","Aphytis","funicularis",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,1,7,"sex","par"
"Aphelinidae","Aphytis","gordoni",4,14.5203896,-118.7559973,36.7014631,114.1628131,24.159237475,46.081859175,22.7075486,94.46031045,1,1,3,"sex","par"
"Aphelinidae","Aphytis","griseus",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,1,4,"sex","par"
"Aphelinidae","Aphytis","holoxanthus",23,-34.9964962,-118.7559973,36.7014631,144.4588889,13.7238160913,-3.23456765217,19.4326009,-53.1999999,1,1,12,"sex","par"
"Aphelinidae","Aphytis","huidongensis",1,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,1,1,1,"sex","par"
"Aphelinidae","Aphytis","ignotus",2,-41.500083,147.2869493,-31.8759834,172.8344077,-36.6880332,160.0606785,-36.6880332,160.0606785,1,1,1,"sex","par"
"Aphelinidae","Aphytis","immaculatus",3,23.1357694,-118.7559973,36.7014631,120.9820179,27.9370566333,38.4747631333,23.9739374,113.1982688,1,1,5,"sex","par"
"Aphelinidae","Aphytis","japonicus",2,36.5748441,126.7893535,37.5540282,139.2394179,37.06443615,133.0143857,37.06443615,133.0143857,1,1,2,"sex","par"
"Aphelinidae","Aphytis","keatsi",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphytis","landii",1,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,1,1,1,"sex","par"
"Aphelinidae","Aphytis","lepidosaphes",39,-34.9964962,-157.9752029,42.6384261,179.0122737,14.9379847103,5.76257010769,21.2160437,12.674297,1,1,8,"sex","par"
"Aphelinidae","Aphytis","liangi",1,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,0,0,0,"sex","par"
"Aphelinidae","Aphytis","libanicus",6,26.2540493,12.674297,42.6384261,52.9471344,34.25734575,33.4431453667,33.40790625,34.96324245,1,1,6,"asex","par"
"Aphelinidae","Aphytis","limonus",1,21.2160437,-157.9752029,21.2160437,-157.9752029,21.2160437,-157.9752029,21.2160437,-157.9752029,0,0,0,"sex","par"
"Aphelinidae","Aphytis","lindingaspis",1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,1,1,2,"sex","par"
"Aphelinidae","Aphytis","lingnanensis",50,-36.5986095,-118.7559973,40.0028028,179.0122737,10.388615178,28.7204007239,16.5925254,34.96324245,1,1,40,"asex","par"
"Aphelinidae","Aphytis","longicaudus",2,22.2793278,113.1982688,23.1357694,114.1628131,22.7075486,113.68054095,22.7075486,113.68054095,1,1,2,"sex","par"
"Aphelinidae","Aphytis","luteus",6,34.9823018,9.0982074,51.0834196,33.1451285,42.8416688667,17.8078550667,42.40124615,16.09019535,1,1,4,"sex","par"
"Aphelinidae","Aphytis","maculatipes",1,-25.2303004,121.0187246,-25.2303004,121.0187246,-25.2303004,121.0187246,-25.2303004,121.0187246,0,0,0,"sex","par"
"Aphelinidae","Aphytis","manii",1,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,1,1,1,"sex","par"
"Aphelinidae","Aphytis","margaretae",2,-22.2752761,-99.1333415,19.4326009,-42.4194149,-1.4213376,-70.7763782,-1.4213376,-70.7763782,1,1,6,"sex","par"
"Aphelinidae","Aphytis","mashae",1,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,0,0,0,"sex","par"
"Aphelinidae","Aphytis","matruhi",1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,1,1,1,"sex","par"
"Aphelinidae","Aphytis","mazalae",4,23.1357694,71.247499,36.5748441,139.2394179,28.50384775,111.1668009,27.15238875,117.09014335,1,1,10,"sex","par"
"Aphelinidae","Aphytis","melinus",30,-36.5986095,-118.7559973,52.2379891,144.6780052,13.538966315,26.1449049306,24.84038475,29.06838375,1,1,24,"sex","par"
"Aphelinidae","Aphytis","merceti",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,2,9,"sex","par"
"Aphelinidae","Aphytis","mimosae",2,-28.8166235,24.991639,10.2116702,38.6521203,-9.30247665,31.82187965,-9.30247665,31.82187965,1,2,2,"sex","par"
"Aphelinidae","Aphytis","minutissimus",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,1,1,1,"sex","par"
"Aphelinidae","Aphytis","miquihuana",1,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,1,1,1,"sex","par"
"Aphelinidae","Aphytis","moldavicus",4,38.6281733,15.4749544,49.8167003,70.8156541,44.353147825,39.707592575,44.48385885,36.2698809,1,1,4,"asex","par"
"Aphelinidae","Aphytis","newtoni",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphytis","notialis",2,-34.9964962,-71.3187696,-31.7613364,-64.9672816,-33.3789163,-68.1430256,-33.3789163,-68.1430256,1,1,4,"sex","par"
"Aphelinidae","Aphytis","opuntiae",3,39.000041,-4.0031039,42.6384261,21.9999569,40.5470899667,10.2237166667,40.0028028,12.674297,1,1,2,"asex","par"
"Aphelinidae","Aphytis","paramaculicornis",10,-28.8166235,-118.7559973,41.6809707,76.7972892,26.2734974,30.20531793,31.9083884,43.1907855,1,1,11,"sex","par"
"Aphelinidae","Aphytis","perissoptroides",1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0,"sex","par"
"Aphelinidae","Aphytis","philippinensis",6,10.9094334,29.2675469,26.4073841,122.7312101,18.9962290667,85.42350715,18.8280795,85.8108325,1,1,7,"sex","par"
"Aphelinidae","Aphytis","phoenicis",3,25.6242618,29.2675469,30.8760272,42.3528328,27.5847794333,35.5406331,26.2540493,35.0015196,1,1,1,"asex","par"
"Aphelinidae","Aphytis","pilosus",1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,2,3,"sex","par"
