Trichogramma bezdencovii,-36;-72,54;45,33;16,46;30,6
Trichogramma bourarachae,32;-8,39;10,35;-2,34;-7,3
Trichogramma cacoeciae,-38;-119,59;127,41;15,46;22,40
Trichogramma closterae,30;114,42;123,35;118,34;117,6
Trichogramma cordubensis,32;-26,40;54,37;0,38;-8,5
Trichogramma dianae,28;-92,39;-77,35;-82,36;-81,6
Trichogramma flavum,28;-82,38;114,33;16,33;16,2
Trichogramma lasallei,-33;-103,28;-47,4;-69,14;-65,12
Trichogramma lopezandinensis,5;-74,5;-74,5;-74,5;-74,1
Trichogramma nerudai,-38;-72,-36;-64,-37;-68,-37;-68,2
Trichogramma nubilale,23;-100,47;113,36;-67,38;-82,11
Trichogramma oleae,-38;-64,46;22,22;-7,40;7,4
Trichogramma ostriniae,-31;-84,46;138,33;82,37;117,18
Trichogramma pratti,37;-119,37;-119,37;-119,37;-119,1
Trichogramma sathon,24;-119,37;-100,32;-108,34;-106,5
Trichogramma semblidis,15;-149,64;83,47;-16,47;8,32
Trichogramma sibericum,37;-128,54;113,45;-53,45;-98,4
Trichogramma tshumakovae,32;54,41;75,37;64,37;64,2
Trichogrammatoidea armigera,-31;-122,39;122,11;-11,13;-61,21
Trichogrammatoidea bactrae,-41;-119,37;175,5;72,13;101,22
